City,Place,Ratings,Distance,Place_desc,Images
Mumbai,Elephanta Caves,4.3,14 km from city center,"An UNESCO World Heritage Site, Elephanta Caves is a specimen of rock cut art and architecture from the times of medieval India. It is an island and is located at a distance of 11km from the city of Mumbai. It also provides an amazing view of the Mumbai skyline.",https://images.unsplash.com/photo-1684837681040-bf2a1653de60?q=80&w=1934&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Mumbai,Walk at Marine drive,4.8,16 km from city center,"Starting from the north of Nariman Point and ending at the famous Chowpatty beach, the Marine Drive is a 3km long arc shaped road along the sea coast of South Mumbai. The coast lines the Arabian sea and is the best place to watch the sunset in Mumbai.",https://images.unsplash.com/photo-1567870374047-3f9db5c06b16?q=80&w=1410&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Mumbai,Picnic at Juhu Beach,4.4,8 km from city center,"The most popular beach in Mumbai, Juhu beach is located close to Andheri and was once quite a beautiful beach. However, with so many tourists coming in here, the place has become dirty and water is also not clean because of affluents from nearby factories and industries.",https://images.unsplash.com/photo-1515453814433-52e741686bbc?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Mumbai,Shopping at Colaba Causeway,4.3,18 km from city center,"One of the most crowded and electrifying places to visit in Mumbai is the Colaba Causeway, famous for being a shopping paradise and having endless shops to choose from. It has a charm about it, which will suck you into its world of colourful shops andÂ old-world cafes like a magnet.",https://images.unsplash.com/photo-1671546620678-76128042afa2?q=80&w=1935&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Mumbai,Stroll around Gateway of India,4.4,18 km from city center,"One of the most distinguished monument in Mumbai, The Gateway of India was built in 1924. Now it has become a popular tourist hub in the city. Located at Apollo Bunder Waterfront, the monument overlooks the Arabian Sea in the most beautiful way.",https://images.unsplash.com/photo-1580581096469-8afb38d3dbd5?q=80&w=1932&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Mumbai,Bollywood Tour at Film City,3.8,10 km from city center,Indian Film Industry accounts as one of the largest in the world and Film City serves as an essential part of it. It is a place where it is difficult to differentiate between the reality and fakeness.,https://i.ytimg.com/vi/aJgz9Sz1MAg/maxresdefault.jpg
Mumbai,Hanging Gardens,3.8,15 km from city center,"Marked by bushes trimmed into shapes of various animals and proximity to the Arabian Sea are the Hanging Gardens, opposite the Kamla Nehru park. Spend a relaxed evening here, enjoying the sunset, especially if you are with kids.",https://www.mumbailive.com/images/media/images/hanging_garden_1695731117497.jpg?bg=292712&crop=960%2C538.9473684210526%2C0%2Cnull&fit=crop&fitToScale=w%2C1368%2C768&fm=webp&h=768&height=639&w=1368&width=960
Mumbai,Prince of Wales Museum,4.3,17 km from city center,"The Prince of Wales Museum is regarded as one of the heritage buildings of Mumbai owing to its splendid architecture. The museum comprises of aÂ plethora of ancient, exquisite artefacts relating to the rich and diverse history of India.",https://images.unsplash.com/photo-1664863988713-aaa4219e3064?q=80&w=1974&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Mumbai,Mumbai Zoo,3.8,12 km from city center,"Popularly known as Veermata Jijabai Udhyan, the zoo is the best way to spend family holidays amidst a vast variety of birds & animals.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/59/30/3f/20190922095841-img-1398.jpg?w=800&h=-1&s=1
Mumbai,Enjoy Rides at Essel World,3.6,19 km from city center,"Located on the edge of northern suburbs, Mumbai's favouriteÂ adventure and water park, Essel World and Water KingdomÂ are probably the best themed park and water park in India. During the hot and humid summer or Mumbai, a lot of locals and tourists throng Water Kingdom.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/2f/66/92/img-20160925-144354-largejpg.jpg?w=1100&h=-1&s=1
Mumbai,Pray at Siddhivinayak Temple,4.3,8 km from city center,"Located in Prabhadevi, Siddhivinayak is a Lord Ganesha temple, one of the most significant and frequented temples in Mumbai. Visitors visit this temple in large numbers on daily basis. It is one of the richest temples in Mumbai. The wooden doors to the sanctum are carved with images of the Lord. The inner roof which is plated with gold has the central sculpture of Ganesha.",https://images.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/01/21/Pictures/plating-devotee-around-delhi-weighing-donated-gold_2f6fc288-3c2a-11ea-bfbd-f812f33ac46f.jpg
Mumbai,National gallery of Modern Art,3.8,17 km from city center,"Situated in Colaba, Southern Mumbai, the National Gallery of Modern Art was established in 1996, with an objective to promote modern trends in the Indian culture. Initially a concert venue, the structure was later converted into an art gallery in 1954. The gallery boasts of its display of artworks from Indian as well as international artists ranging from M.F. Hussain, F.N. Souza, Amrita Shergil, Gaganendranath Tagore to Picasso.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/03/98/c5/national-gallery-of-modern.jpg?w=700&h=-1&s=1
Mumbai,Sunset at Haji Ali Dargah,4.3,13 km from city center,"Situated at the backdrop of a beautiful view of the sea is the shrine of Haji Ali, a wealthy merchant turned into Muslim Sufi. People from all walks of life and religions come here to seek blessings.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/30/ef/25/haji-ali-dargah.jpg?w=1000&h=-1&s=1
Mumbai,Shopping at Fashion Street,3.8,16 km from city center,"One of the favourite shopping hubs for the people of Mumbai especially the students, the place offers some of the trendiest and latest fashion clothes.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/89/96/11/20180908-132256-largejpg.jpg?w=1000&h=-1&s=1
Mumbai,Bandra-Worli Sea Link,4.4,9 km from city center,"Spanning across the arc of Mumbai coastline,Â this is an eight-lane cable-stayed bridge in Mumbai.Â Officially known as Rajiv Gandhi Sea Link, itÂ is a civil engineering wonder that reflects the modern infrastructure of the city of Mumbai.",https://images.unsplash.com/photo-1562979314-bee7453e911c?q=80&w=1974&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Mumbai,Marvel at the Victoria Terminus,4.4,15 km from city center,"Also known as Chhatrapati Shivaji Maharaj Terminus, the Victoria Terminus is the main railway station serving Mumbai. Constructed in the Victorian-Gothic style of architecture, the railway station is a declared as a World Heritage Site by the UNESCO. The station is one of the most famous historic landmark symbolizing the pre-independence British Raj in India.",https://images.unsplash.com/photo-1641122098360-13e4442bb539?q=80&w=1974&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Mumbai,Kamla Nehru park,3.8,16 km from city center,"Named after the first wife of the late Prime Minister of India, Sri Pandit Jawaharlal Nehru, it is family spot for outings. Enjoy the view of Marine drive and the Chowpatty beach from here.",https://cdn.guidetour.in/wp-content/uploads/2018/09/Kamla-Nehru-Park.jpg.webp
Mumbai,ISKCON Temple,3.3,7 km from city center,"Iskcon temple is a spiritual getaway from all the hustle and bustle of the city. A temple clad in marble and glass, Iskcon has an impressive architecture and promises to give a peaceful and tranquil experience. The complex also has a research and education centre conducting daily seminars and preaching on Vedic writings and an impressive library inside the compound.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/17/28/84/iskcon-raipur-sri-sri.jpg?w=1200&h=1200&s=1
Mumbai,Gorakhgad Trek,3.5,70 km from city center,Gorakhgad is a hill fort in Maharashtra. Gorakhgad and Machindragad are twin forts in the Thane district of Maharashtra. Gorakhgad is situated at an elevation higher than its twin fort.,https://trekcommunity.in/images/locations/15686304288987884401.jpg
Mumbai,Kanheri caves,3.8,15 km from city center,"Located in the Sanjay Gandhi National Park, the Kanheri Caves in Mumbai is a group of alcoves and rock-cut monuments that illustrate the Buddhist influence on the Indian art and culture. The caves are famous for its 109 special entrances and ancient sculptures, carvings, paintings and inscriptions dating from the 1st century to the 10th century.",https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/0a/04/44/87.jpg
Mumbai,Street Food at Girgaum Chowpatty,4.3,15 km from city center,"Girgaum Chowpatty is a small sandy beach and a good place to chill, at the north end of Marine Drive, a must-go place for tourists visiting Marine Drive for the first time. Conveniently located next to Charni Road railway station,Â it is very crowded during evening and weekends and hosts street food stalls serving local delicacies. There are cafes/dine-in options available across the road as well.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/f7/66/45/girgaum-chowpatty.jpg?w=1200&h=-1&s=1
Mumbai,Water Sports in Mandwa Beach,3.5,30 km from city center,"A beautiful, serene and pristine beach in Mandwa Village - an hour long ferry ride away from Mumbai - is not just about quite long walks along the coast but also offers the buzz of water sports.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/c5/6a/16/mandwa-beach.jpg?w=1200&h=-1&s=1
Mumbai,Global Pagoda,3.8,19 km from city center,"Located near Gorai, North-West of Mumbai, the Global Vipassana Pagoda serves as a monument to peace and harmony. It is built as a form of gratitude to a Vipassana teacher and accountant general of Independent Burma, Sayayi U Ba Khin. He was instrumental in bringing Vipassanaa back to its country of origin, i.e. India.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/19/88/12/global-vipassana-pagoda.jpg?w=1100&h=-1&s=1
Mumbai,Mahakali caves,3.7,6 km from city center,"Alternatively known as Kondivite Caves, the Mahakali Caves are a total of nineteen rock-cut monuments, built between the duration of the 1st and 6th century. The main cave consists of Buddha figures and stupas, while the there are several Buddha idols carved on the rocks too.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/d6/43/78/mahakali-caves.jpg?w=1200&h=-1&s=1
Chennai,Explore The Marina Beach,4.3,4 km from city center,"Marina Beach is a natural urban beach along the Bay of Bengal. The beach is stretched out to a distance of 13 kilometres making it theÂ longest natural urban beachÂ in the country, second largest in the world and also the most crowded beach in India with almost 30,000 visitors a day.Â",https://images.unsplash.com/photo-1668518891186-c07180869132?q=80&w=1550&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Chennai,MGR Film City,3.5,8 km from city center,"Having been established in the year 1994, a considerably new structure, the MGR Film city is managed by the Government of Tamil Nadu in loving memory of MG Ramachandran who was not only a crowd-pleasing tamil actor but also a longtime CM of Tamil Nadu.",https://cybertravelinc.files.wordpress.com/2012/07/shpvf_m.jpg?w=1400&h=
Chennai,Breezy Beach,3.6,9 km from city center,"Breezy Beach lays in the remote and serene neighbourhood of Valmiki Nagar in Chennai. Being smaller and less polluted, its a perfect getaway for anyone looking for a peaceful evening.",https://www.calvertcountymd.gov/ImageRepository/Document?documentID=37503
Chennai,Marundeeswarar Temple,4.3,8 km from city center,"The magnificent Marundeeswarar Temple, in Tiruvanmiyur, near Chennai has the temple deity Shiva in the form of Marundeeswar or Aushadeeswarar, the God of Medicines. A fine specimen of Dravidian architecture, this temple is a must visit for anyone visiting Chennai or nearby cities.",https://upload.wikimedia.org/wikipedia/commons/3/31/Marundeeswarar7.jpg
Chennai,Arignar Anna Zoological Park,4.2,27 km from city center,"Arignar Anna Zoological Park aka Vandalur Zoo, is a zoological garden located in Vandalur is spread over an area of 602 hectares, including a rescue and rehabilitation centre. The zoo shelters about 3000 species of flora and fauna across twelve hundred acres including 46 endangered species, in its 160 enclosures.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/4a/9d/43/giraffe.jpg?w=1200&h=-1&s=1
Chennai,Valluvar Kottam,4.2,1 km from city center,"Valluvar Kottam is an auditorium, with a gigantic capacity to hold 4,000 people, built in remembrance of the poet-saint, Tiruvalluvar. Verses of the poet Tiruvalluvar are embellished on the pillars in and around the auditorium.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/53/d0/c5/img-20160731-172616-hdr.jpg?w=1200&h=-1&s=1
Chennai,Ashtalakshmi Temple,4.2,8 km from city center,"The Chennai Ashtalakshmi temple is situated in Besant Nagar, on the shores of the Bay of Bengal. That stretch of beach is known as the Elliot's beach. The temple was constructed on the express wishes of Sri Mahaa Periyavaal of Kanchi Mutt, Sri Chandrasekara Saraswati Swamigal. (br) The temple's architecture is unique, with the deities installed in four levels.Â",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/15/94/f1/stunning-views.jpg?w=1200&h=-1&s=1
Chennai,Read Some Books at Connemara Library,4.2,1 km from city center,The Connemara Public Library at Chennai holds the prestigious status of being amongst one of the four deposit libraries in India which entitles them to a copy of every publication in India.,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/da/c8/57/connemara-public-library.jpg?w=1100&h=-1&s=1
Chennai,Trek the Koli Hills,4,279 km from city center,"With an ominous name which means â€˜Mountain of Deathâ€™, Kolli Hills or Kolli Malai are a mountain range located in the Namakkal district of Tamil Nadu. It is relatively untouched by commercial tourism and therefore has retained most of its natural magnificence.",https://resources.thomascook.in/images/holidays/sightSeeing/31463_Kolli_hills_Kollimalai_seventy_hairpin_bends_Tamil_Nadu_850.jpg
Chennai,Elliot's Beach,4.2,7 km from city center,"A beach showcasing beauty, calmness, serenity and everything that signifies nature at its best, the Elliot's beach cannot be forgotten by anyone who has visited it once.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/05/8d/e7/img-20151118-165245-001.jpg?w=1200&h=-1&s=1
Chennai,Enjoy the games at VGP Golden Beach,3.7,16 km from city center,"Considered as one of the cleanest and beautiful beaches in Chennai, VGP Golden beach is one of the most sought after destinations in the area by family and friends.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/47/86/1d/vgp-golden-beach.jpg?w=1200&h=-1&s=1
Chennai,ISKCON (Hare Rama Hare Krishna) Temple,3.7,17 km from city center,"ISKCON Temple Chennai is a temple devoted to Lord Krishna. It is located on the East Coast Road at southern Chennai. Built on 1.5 acres of land, ISKCON, Chennai is the biggest Radha Krishna temple in Tamil Nadu. It was officially inaugurated on 26 April 2012. The deities revered in the temple include those of Radha Krishna and lord's family, including Sri Sri Nitai Gauranga.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/00/ae/a6/hare-krishna-movement.jpg?w=1000&h=-1&s=1
Chennai,Vivekananda House,3.2,4 km from city center,"Vivekananda House also popularly known as The Ice House, is a shrine and pilgrimage centre for the admirers and followers of Swami Vivekananda. It is in this house that Swami Vivekananda stayed for six weeks in 1900.",https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/c8/35/c4/vivekananda-kendra.jpg?w=600&h=-1&s=1
Chennai,Akkarai Beach,3.2,18 km from city center,"The sandy coastline begins from Ennore in the north extending south into Uthandi, leaving one to choose from more than just Marina and Elliot's beach.",https://www.holidify.com/images/cmsuploads/compressed/1024px-Valvettithurai_Beach_20200108162709.JPG
Chennai,Dakshinachitra Museum,3,2 km from city center,"Dakshinachitra Museum is one of the living-history museums in India which stores in itself great works of architecture, crafts, performing arts, and lifestyles that belong to South India.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/f0/3e/85/photo0jpg.jpg?w=1200&h=-1&s=1
Chennai,Santhome Cathedral Basilica,3.2,4 km from city center,"Santhome Cathedral is a historical and ancient pilgrim centre, which was built during the 14th to the 15th century A D by the then reigning, Portuguese.",https://chennaitourism.travel/images/places-to-visit/headers/san-thome-basilica-church-chennai-tourism-entry-fee-timings-holidays-reviews-header.jpg
Lucknow,Bara Imambara,4.3,4 km from city center,"The Bara Imambara of Lucknow is one of the most famous monuments of the city. Also known as Asfi Imambara, after the name of the Nawab of Lucknow who got it constructed, it is an important place of worship for the Muslims who come here every year to celebrate the religious festival of Muharram. The Imambara is specially known for its incredible maze, known as Bhul Bhulaiya locally, which is located in the upper floor of the monument.",https://plus.unsplash.com/premium_photo-1697730410005-1d916de26345?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Lucknow,Chota Imambara,4.2,5 km from city center,"The Chhota Imambara, or the Imambara of Hussainabad, is one of the most beautiful and attractive buildings in the old city of Lucknow in Uttar Pradesh. This imposing monument lies to the west of Bara Imambara and is a true sight to behold. The Chhota Imambara was initially a congregation hall for Shia Muslims that was built by Muhammad Ali Shah, who was the third Nawab of Awadh, in 1838. The Imambara was to serve as his own mausoleum as well as that of his mother, who is buried beside him in this prestigious monument.",https://images.unsplash.com/photo-1655747092375-37ac78a7a11c?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Lucknow,British Residency,3.2,3 km from city center,The British Residency of Lucknow served as a refuge for several Britishers during the uprising on 1857. The fort is now in ruins and a cemetery nearby contains the graves of the hundreds of Britishers who died during the siege. The ruins are now protected by the Archaeological Survey of India.,https://images.unsplash.com/photo-1686483719385-e80703862c10?q=80&w=1632&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Lucknow,Rumi Darwaza,3.5,4 km from city center,"The Rumi Darwaza was built in 1784-86 and is a 60 feet high entrance, with no visible supporting fittings. It is also known as the Turkish Gate and displays Awadhi architectural style.",https://images.unsplash.com/photo-1688287580970-70fe8e0f4bef?q=80&w=1374&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Lucknow,Dr Ambedkar Park,3.2,6 km from city center,"The Ambedkar Memorial Park was constructed by the Mayawati Government in Gomti Nagar, Lucknow. The park was built to commemorate the people who dedicated their life to equality and human justice like Dr. Bhimrao Ambedkar, Kanshi Ram and others. With a budget of a whopping seven billion rupees, the park is one of the loveliest things to see in Lucknow.",https://media.istockphoto.com/id/1436322435/photo/dr-ambedkar-park-in-the-city-noida.jpg?s=1024x1024&w=is&k=20&c=0rxAJUt3R47pC0uiJFvUoLVXC4ox6HbzoW8EfxgJj60=
Lucknow,Constantia (La Martiniere School),3.5,2 km from city center,"One of the historical landmarks of Lucknow with its English past, the La Martinere School started in 1845. It houses the tomb of French Major-General Claude Martin as he resided there.",https://media.istockphoto.com/id/639533830/photo/constantia-house-located-in-lucknow-india.jpg?s=1024x1024&w=is&k=20&c=S8XvfLaljUnZrRx-s_8dVVnRC8mbaMlGdZmiHKYpM8s=
Lucknow,Chowk,3.5,5 km from city center,"Chowk market in Lucknow is one of those places of the city that are a window into its rich cultural heritage. Beginning from Chikan work to succulent kebabs, one can find it all at the Chowk market.",https://images.unsplash.com/photo-1702966346232-2797620e1992?q=80&w=1374&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Lucknow,Dilkusha Kothi,3.2,3 km from city center,"A hunting lodge converted into a summer palace for the royals, Dilkusha Kothi was built in 1800 by Major Gore in Baroque style. It faced major impact during the first war of independence and hence lies in a less than perfect state with just a few towers and walls standing.",https://media.istockphoto.com/id/1365111177/photo/side-view-of-imambara-and-masjid-at-the-british-residency-built-by-nawab-asaf-ud-daulah.jpg?s=1024x1024&w=is&k=20&c=4kwzcigyAEk7ZAOYH1v0QB_hdCwErivfpzAzNbz2Sg8=