City,Place
manali,1. capture the sceneries of old manali
manali,2. engage in the adventures of solang valley
manali,3. jogini waterfall
manali,4. hadimba temple
manali,5. rohtang pass
manali,6. parvati valley
manali,7. sethan valley
manali,8. gulp some maggi by the jana waterfall
manali,9. arjun gufa
manali,10. peek into the history of manu temple
manali,11. bathe in the hot springs of manikaran
manali,12. paraglide in the skies
manali,13. atal tunnel
manali,14. sissu
manali,15. take a dip in the vashisht baths
manali,16. tour in the museum of himachal culture & folk art
manali,17. picnic in van vihar
manali,18. rafting
manali,19. naggar
manali,20. bhrigu lake
manali,21. kullu
manali,22. adventure activities
manali,23. ski in the chilling snow
manali,24. trek to cafes in malana
manali,25. himalaya nyingmapa buddhist temple
manali,26. hike through the kothi village
manali,27. trek through the great himalayan national park
manali,28. dwell the landscape of gulaba
manali,29. rahala falls
manali,30. trek to the beas kund
manali,31. trek the hampta pass
manali,32. chill at the club house
manali,33. explore the wildlife at manali sanctuary
manali,34. pray at the jagatsukh temple
manali,35. click pictures at nehru kund
manali,36. chandrakhani pass and the parvati valley
manali,37. bara bhangal kalihani trek
manali,38. hampta valley
manali,39. deo tibba base camp trek
manali,40. gayatri temple
manali,41. gadhan thekchhokling gompa monastery
manali,42. pray at siyali mahadev temple
manali,43. keylong
manali,44. trek to the chandratal baralacha lake
manali,45. marvel at the gauri shankar temple
manali,46. rozy waterfalls
manali,47. zorbing in manali
manali,48. winter carnival manali
manali,49. roerich art gallery and estate
manali,50. bhunter
leh ladakh,1. pangong lake
leh ladakh,2. khardung la pass
leh ladakh,3. nubra valley
leh ladakh,4. sangam
leh ladakh,5. shanti stupa
leh ladakh,6. tso moriri lake
leh ladakh,7. magnetic hill
leh ladakh,8. hall of fame museum
leh ladakh,9. thiksey monastery
leh ladakh,10. zanskar valley
leh ladakh,11. shey monastery and palace
leh ladakh,12. stok palace
leh ladakh,13. hemis monastery
leh ladakh,14. white water rafting
leh ladakh,15. pathar sahib gurudwara
leh ladakh,16. kargil
leh ladakh,17. likir monastery
leh ladakh,18. alchi
leh ladakh,19. spituk monastery
leh ladakh," 20. diskit monastery, lachung temple and hundur monastery. "
leh ladakh," 21. bactarian camel safari, nubra valley "
leh ladakh,22. leh palace
leh ladakh,23. tso kar lake
leh ladakh," 24. hemis high altitude wildlife sanctuary, hemis "
leh ladakh,25. chadar trek
leh ladakh,26. hunder village
leh ladakh,27. taglang la
leh ladakh,28. turtuk
leh ladakh,29. hundur monastery
leh ladakh," 30. phuktal monastery, zanskar "
leh ladakh,31. lamayuru town
leh ladakh,32. stargazing
leh ladakh,33. chang la pass
leh ladakh,34. chemrey monastery
leh ladakh,35. namgyal tsemo gompa
leh ladakh,36. ladakh trekking
leh ladakh,37. sankar gompa
leh ladakh,38. lachung temple
leh ladakh,39. druk white lotus school
leh ladakh,40. city shopping
leh ladakh,41. dah hanu
leh ladakh,42. sindhu darshan festival
leh ladakh,43. changtang wildlife sanctuary
leh ladakh,44. nyoma
leh ladakh,45. mountain biking
leh ladakh," 46. panamik village, nubra valley "
leh ladakh," 47. yarab tso, sumur "
leh ladakh," 48. moonland, lamayuru "
leh ladakh,49. darcha to padum trek
leh ladakh," 50. maitreya buddha, nubra valley "
leh ladakh,51. shyok valley
leh ladakh,52. handicrafts industrial cooperative shop
coorg,1. abbey falls
coorg,2. raja's seat
coorg,3. coffee plantations in coorg
coorg,4. golden temple (namdroling monastery)
coorg,5. trek & camp at tadiandamol peak
coorg,6. take a dip under the iruppu falls
coorg,7. talacauvery
coorg,8. take a walk in madikeri fort
coorg," 9. white river rafting in barapole river, coorg "
coorg,10. dubare elephant camp
coorg,11. omkareshwara temple
coorg,12. honnamana kere lake
coorg,13. brahmagiri wildlife sanctuary
coorg,14. gaddige raja's tomb
coorg,15. trekking
coorg,16. take a safari through nagarhole national park
coorg,17. engage in the adventures around somwarpet
coorg,18. honey valley - nilakandi falls
coorg,19. ayurvedic treatments
coorg,20. pushpagiri wildlife sanctuary
coorg,21. bhagamandala
coorg,22. shopping in coorg
coorg,23. brahmagiri trek
coorg,24. mallalli falls
coorg,25. kutta
coorg,26. angling (fishing) in coorg
coorg,27. kopatty hills
coorg,28. rameshwara temple
coorg,29. chettali
coorg,30. nalakunad palace
coorg,31. bird watching
coorg,32. mandalpatti
coorg,33. virajpet
coorg,34. nishani motte trek
andaman,1. cellular jail
andaman,2. elephant beach
andaman,3. neil island
andaman,4. radhanagar beach
andaman,5. baratang island
andaman,6. night kayaking in andaman
andaman,7. scuba diving in andaman
andaman,8. mount harriet national park
andaman,9. north bay island
andaman,10. bharatpur beach
andaman,11. water sports in andamans
andaman,12. ross island
andaman,13. laxmanpur beach 1
andaman,14. laxmanpur beach 2
andaman,15. corbyn's cove
andaman,16. chidiya tapu
andaman,17. mahatma gandhi marine national park
andaman,18. kalapathar beach
andaman,19. seakart in andaman
andaman,20. snorkeling in andamans
andaman," 21. howrah bridge, andaman "
andaman,22. glass bottom dolphin boat
andaman,23. city shopping
andaman,24. long island
andaman,25. jolly buoy island
andaman,26. rajiv gandhi water sports complex
andaman,27. amkunj beach
andaman,28. little andaman
andaman,29. mangrove creeks in andaman
andaman,30. guitar island beach
andaman,31. barren island
andaman,32. anthropological museum
andaman,33. sitapur beach
andaman,34. viper island
andaman,35. narcondam island
andaman,36. wandoor beach
andaman,37. sea walking in andaman
andaman,38. boat trips andaman
andaman,39. mangrove kayaking
andaman,40. vijaynagar beach
andaman,41. trekking in andaman
andaman,42. samudrika naval marine museum
andaman,43. chatham saw mill
andaman,44. cinque island
andaman,45. sandbar beach
andaman,46. rutland island
andaman,47. parrot island
andaman,48. diglipur
andaman,49. saddle peak national park
andaman,50. lalaji bay beach
andaman,51. stewart island beach
andaman,52. limestone caves andaman
lakshadweep,1. minicoy island
lakshadweep,2. agatti islands
lakshadweep,3. bangaram island
lakshadweep,4. scuba diving in lakshadweep
lakshadweep,5. kavaratti islands
lakshadweep,6. kalpeni island
lakshadweep,7. water sports
lakshadweep,8. marine museum
lakshadweep,9. kadmat
lakshadweep,10. city shopping
lakshadweep,11. amindivi islands
lakshadweep,12. andretti island
lakshadweep," 13. lighthouse, minicoy island "
lakshadweep,14. yacht cruise
lakshadweep,15. parasailing in lakshadweep
goa,1. fun time in calangute beach
goa,2. fort aguada
goa,3. dine on a cruise
goa,4. water sports in goa
goa,5. behold to dudhsagar waterfalls
goa,6. adventures of anjuna beach
goa,7. chapora fort
goa,8. thalassa
goa,9. basilica of bom jesus
goa,10. go clubbing by the baga beach
goa,11. butterfly beach
goa,12. divar island
goa,13. scuba diving in goa
goa,14. go shopping in goa
goa,15. explore dona paula
goa,16. arambol beach
goa,17. vagator beach
goa,18. fontainhas and sao tome
goa,19. church of our lady of the immaculate conception
goa," 20. party at the tito's, calangute "
goa,21. brittos
goa," 22. mambos, calangute "
goa," 23. club lpk - love passion karma, candolim "
goa,24. anjuna flea market
goa,25. relax at the palolem beach
goa,26. bungee jumping in goa
goa,27. rejuvenate by spas and massages
goa,28. colva beach
goa,29. morjim beach
goa,30. casino
goa,31. agonda beach
goa,32. candolim beach
goa,33. se cathedral
goa,34. cavelossim beach
goa,35. patnem beach
goa,36. betalbatim beach
goa,37. fort tiracol
goa,38. grande island
goa,39. bhagwan mahavir sanctuary
goa,40. arvalem waterfalls
goa,41. mollem national park
goa,42. sunburn festival
goa,43. carnival in goa
goa,44. church of st. cajetan
goa,45. bambolim beach
goa,46. butterfly conservatory of goa
goa,47. sri mahadeva temple
goa,48. church of st francis of assisi
goa,49. cabo de rama beach
goa,50. monastery of st augustine
goa,51. savoi plantation
goa,52. ashwem beach
udaipur,1. city palace
udaipur,2. sunset cruising over lake pichola
udaipur,3. sajjangarh palace
udaipur,4. bagore ki haveli
udaipur,5. jag mandir palace
udaipur,6. eklingji temple
udaipur,7. ahar cenotaphs
udaipur,8. jagdish temple
udaipur,9. boating over fateh sagar lake
udaipur,10. saheliyon ki bari
udaipur,11. ambrai ghat
udaipur,12. admire the nature in gulabh bagh and zoo
udaipur,13. view the sunset at jaisamand lake
udaipur,14. under the sun aquarium
udaipur,15. sukhadia circle
udaipur,16. vintage car museum
udaipur,17. bharatiya lok kala museum
udaipur,18. shilp gram
udaipur,19. take a ride of mansapurna karni ropeway
udaipur,20. doodh talai musical garden
udaipur,21. apparel shopping in hathi pol bazar
udaipur,22. neemach mata temple
udaipur,23. wax museum udaipur
udaipur,24. crystal gallery
udaipur,25. menar
udaipur,26. maharana pratap smarak
udaipur,27. art shopping in bada bazar
udaipur,28. rajiv gandhi park
udaipur,29. nehru garden
udaipur,30. sahastrabahu temple
udaipur,31. sajjangarh biological park
udaipur,32. manik lal verma park
udaipur,33. food in udaipur
udaipur,34. pratap park
udaipur,35. trekking in udaipur
udaipur,36. taj lake palace
udaipur,37. bada mahal
udaipur,38. haldighaati
udaipur,39. marvel water park
udaipur,40. badi lake
udaipur,41. take an evening walk in chetak circle
udaipur,42. jeel water park
srinagar,1. dal lake
srinagar,2. shalimar bagh
srinagar,3. shikara ride
srinagar,4. shankaracharya temple
srinagar,5. indira gandhi memorial tulip garden
srinagar,6. stay in a houseboat
srinagar,7. nishat bagh
srinagar,8. nigeen lake
srinagar,9. hot air balloon in srinagar
srinagar,10. chashm-e-shahi
srinagar,11. pari mahal
srinagar,12. hazratbal shrine
srinagar,13. hari parbat
srinagar,14. sinthan top
srinagar,15. char chinar
srinagar,16. sps museum
srinagar,17. yusmarg
srinagar,18. salim ali national park
srinagar,19. paragliding in srinagar
srinagar,20. jamia masjid
srinagar,21. badamwari garden
srinagar,22. dastgeer sahib
srinagar,23. challi point
srinagar,24. nehru garden
srinagar,25. burzhama ruins
srinagar,26. kheer bhawani temple
srinagar,27. tarsar marsar trek
srinagar,28. apple orchards
srinagar,29. dachigam national park
srinagar,30. tulip festival in srinagar
srinagar,31. city shopping
srinagar,32. makhdoom sahib shrine
srinagar,33. charar-i-sharif
srinagar,34. floating vegetable market
srinagar,35. wular lake
srinagar,36. baramulla
srinagar,37. chinar park
srinagar,38. khanqah of shah hamdan
srinagar,39. anantnag
srinagar,40. chatti padshahi gurudwara
srinagar,41. kathi darwaza
gangtok,1. nathu la pass
gangtok,2. mg road
gangtok,3. rumtek monastery
gangtok,4. tsomgo lake
gangtok,5. ganesh tok
gangtok,6. namgyal institute of tibetology
gangtok,7. kanchenjunga
gangtok,8. baba mandir
gangtok,9. mangan
gangtok,10. himalayan zoological park
gangtok,11. reshi hot springs
gangtok,12. kabi longstok
gangtok,13. seven sisters waterfalls
gangtok,14. tinkitam
gangtok,15. flower exhibition centre
gangtok,16. do drul chorten
gangtok,17. saramsa garden
gangtok,18. hanuman tok
gangtok,19. paragliding
gangtok,20. tashi view point
gangtok,21. tsuk la khang monastery
gangtok,22. shingba rhododendron sanctuary
gangtok,23. banjhakri falls
gangtok,24. ranka monastery
gangtok,25. enchey monastery
gangtok,26. saga dawa
gangtok,27. international flower festival in gangtok
gangtok,28. gangtok ropeway
gangtok,29. yak safari
gangtok,30. mountain biking in gangtok
gangtok,31. 9’ine native cuisine
gangtok,32. baker's cafe
gangtok,33. phodong monastery
munnar,1. munnar tea plantations
munnar,2. atukkad waterfalls
munnar,3. soak the vibe of rose garden
munnar,4. tata tea or kdhp museum
munnar,5. sunset at pothamedu view point
munnar,6. picnc at mattupetti dam
munnar,7. witness a combat at kalari kshethra
munnar,8. munnar jeep safari
munnar,9. witness the neelakurinji blooming spectacle at top station
munnar,10. pose at the photo point
munnar,11. eravikulam (rajamalai) national park
munnar,12. spend a day at wonder valley adventure and amusement park
munnar,13. spa & massages in munnar
munnar,14. meet the wildlife at anamudi peak inside eravikulam national park
munnar,15. kundala dam & lake
munnar,16. tree houses in munnar
munnar,17. shout out at the echo point
munnar,18. chokramudi peak
munnar,19. sunset over the lock heart gap
munnar,20. wet your toes by the cheeyappara waterfalls
munnar,21. trek & camp in chinnar wildlife sanctuary
munnar,22. marayoor
munnar,23. meesapulimala
munnar,24. indo swiss dairy farm
munnar,25. lakkom water falls
munnar,26. spend an evening at the blossom park
munnar,27. pallivasal falls
munnar,28. trekking
munnar,29. chinnakanal waterfalls
munnar,30. sevenmallay tea estate
munnar,31. mountain biking in munnar
munnar,32. kolukkumalai tea estate
munnar,33. chithirapuram
munnar,34. bird watching at salim ali bird sanctuary
munnar,35. tea shopping
munnar,36. lockhart tea museum
munnar,37. nyayamakad waterfalls
munnar,38. pallivasal tea garden
munnar,39. kuthumkal waterfalls
munnar,40. wait and watch at the elephant arrival spot
munnar,41. rock climbing and rappelling
munnar,42. high range club
munnar,43. mattupetti indo-swiss farm
munnar,44. floriculture centre
munnar,45. valara falls
munnar,46. csi christ church
munnar,47. elephant lake
munnar,48. anayirankal dam
varkala,1. water sports in varkala
varkala,2. varkala beach
varkala,3. edava beach
varkala,4. mangrove forest kayaking
varkala,5. thiruvambadi beach
varkala,6. anjengo fort
varkala,7. sivagiri mutt
varkala,8. ponnumthuruthu
varkala,9. janardhanaswamy temple
varkala,10. varkala cliff
varkala,11. vishnu temple
varkala,12. kaduvayil juma masjid
varkala,13. varkala lighthouse
varkala,14. kappil lake
varkala,15. asparagus
varkala,16. kappil beach
varkala,17. varkala aquarium
varkala,18. varkala tunnel
varkala,19. saint sebastian's pilgrim church moongode
varkala,20. sarkara devi temple
varkala,21. chilakoor beach
varkala,22. arattu festival in janardhanaswamy temple
varkala,23. darjeeling cafe
varkala,24. inda cafe
mcleodganj,1. bhagsu falls
mcleodganj,2. namgyal monastery
mcleodganj,3. bhagsunath temple
mcleodganj,4. triund
mcleodganj,5. naddi view point
mcleodganj,6. dal lake
mcleodganj,7. shiva cafe
mcleodganj,8. trekking
mcleodganj,9. kalachakra temple
mcleodganj,10. norbulingka institute
mcleodganj,11. dharamkot
mcleodganj,12. tibetan institute of performing arts
mcleodganj,13. sunset cafe
mcleodganj,14. naam art gallery
mcleodganj,15. tibetan museum
mcleodganj,16. dharamshala to mcleodganj ropeway
mcleodganj,17. church of st. johns in the wilderness
mcleodganj,18. minkiani pass
mcleodganj,19. masroor rock cut temple
mcleodganj,20. city shopping
mcleodganj,21. dalai lama temple
mcleodganj," 22. kangra fort, kangra "
mcleodganj,23. homestays in mcleodganj
mcleodganj,24. camping in mcleodganj
mcleodganj,25. paragliding in mcleodganj
mcleodganj,26. gallu devi temple
mcleodganj,27. gallu devi waterfall
mcleodganj,28. kareri lake trek
mcleodganj,29. indrahar pass trek
mcleodganj,30. tushita meditation centre
mcleodganj,31. vipassana meditation centre
mcleodganj," 32. kareri lake, kangra "
mcleodganj,33. pong dam
mcleodganj,34. tibet kitchen
mcleodganj," 35. baglamukhi temple, kangra "
mcleodganj," 36. bajreshwari temple, kangra "
mcleodganj," 37. kangra art museum, kangra "
mcleodganj," 38. kaleshwar mahadev temple, kangra "
mcleodganj,39. body temple
mcleodganj,40. thatharana trek
mcleodganj,41. laka glacier trek
mcleodganj,42. illiterati books & cafe
rishikesh,1. rafting in rishikesh
rishikesh,2. take a walk over the lakshman jhula
rishikesh,3. sunset on the triveni ghat
rishikesh,4. attend the famous ganga aarti
rishikesh,5. cliff jumping
rishikesh,6. camping
rishikesh,7. neelkantha mahadeva temple
rishikesh,8. find peace in the beatles ashram
rishikesh,9. flying fox
rishikesh,10. bungee jumping in rishikesh
rishikesh,11. tera manzil temple
rishikesh,12. camping at kaudiyala
rishikesh,13. camping in the kuari pass
rishikesh,14. neer garh waterfall
rishikesh,15. geeta bhawan
rishikesh,16. bharat mandir
rishikesh,17. muni ki reti
rishikesh,18. jadh ganga trek
rishikesh,19. swarg ashram
rishikesh,20. jumpin heights
rishikesh,21. take a dip in rishi kund
rishikesh,22. take a walk over ram jhula
rishikesh,23. piran kaliyar sharif
rishikesh,24. byasi
rishikesh,25. omkarananda ashram
rishikesh,26. sivananda ashram
rishikesh,27. kunjapuri devi temple
rishikesh,28. raghunath temple
rishikesh,29. meditate at the swami dayananda ashram
rishikesh,30. parmarth niketan ashram
rishikesh,31. yoga centres
rishikesh,32. rejuvenate in the spa & wellness centers
rishikesh,33. take cooking classes
rishikesh,34. vashista gufa
rishikesh,35. andhra ashram
rishikesh,36. anand prakash ashram
rishikesh,37. madhuban ashram
rishikesh,38. himalayan yog ashram
rishikesh,39. nirmal ashram
rishikesh,40. osho ganga ashram
rishikesh,41. phool chatti ashram
rishikesh,42. sadhaka grama ashram
rishikesh,43. virbhadra temple
rishikesh,44. vanprastha ashram
rishikesh,45. garudchatti waterfall
rishikesh,46. patna waterfalls
rishikesh,47. himshail waterfalls
rishikesh,48. phool chatti waterfalls
rishikesh,49. rappelling and rock climbing
rishikesh,50. mountain biking
rishikesh,51. kayaking in rishikesh
rishikesh," 52. international yoga festival, parmarth niketan ashram "
alleppey,1. houseboats
alleppey,2. marari beach
alleppey,3. alappuzha beach
alleppey,4. ambalapuzha sree krishna temple
alleppey,5. st. mary's forane church
alleppey,6. krishnapuram palace
alleppey,7. pathiramanal
alleppey,8. kayaking in alleppey
alleppey,9. vembanad lake
alleppey,10. backwaters
alleppey,11. nehru trophy snake boat race
alleppey,12. bay island driftwood museum
alleppey,13. revi karunakaran museum
alleppey,14. punnapra beach
alleppey,15. thottappally beach
alleppey,16. spa & massage in alleppey
alleppey,17. pallippuram
alleppey,18. edathua church
alleppey,19. kuttanad
alleppey,20. coir weaving in alleppey
alleppey,21. punnamada lake
alleppey,22. st. andrew's basilica arthunkal
alleppey,23. chettikulangara devi temple
alleppey,24. mannarasala sree nagaraja temple
alleppey,25. karumadikkuttan
alleppey,26. vijay beach park
alleppey,27. mullakkal rajeshwari temple
alleppey,28. thumpoly beach
alleppey,29. alappuzha lighthouse
alleppey,30. pandavan para
alleppey,31. international coir museum
alleppey,32. haripad sree subrahmanya swamy temple
alleppey,33. arthunkal beach
alleppey,34. thaikal beach
darjeeling,1. darjeeling himalayan railway
darjeeling,2. tiger hill
darjeeling,3. batasia loop
darjeeling,4. darjeeling ropeway
darjeeling,5. himalayan mountaineering institute
darjeeling,6. nightingale park
darjeeling,7. rock garden
darjeeling,8. singalila national park
darjeeling,9. japanese peace pagoda
darjeeling,10. sandakphu trek
darjeeling,11. river rafting in teesta
darjeeling,12. tea plantations
darjeeling,13. city shopping
darjeeling,14. padmaja naidu himalayan zoological park
darjeeling,15. tinchuley
darjeeling,16. happy valley tea estate
darjeeling,17. observatory hill
darjeeling,18. monastries in darjeeling
darjeeling,19. trekking
darjeeling,20. ghoom monastery
darjeeling,21. bengal natural history museum
darjeeling,22. lamahatta eco park
darjeeling,23. lepchajagat
nainital,1. naini lake
nainital,2. snow view point
nainital,3. the mall road
nainital,4. tiffin top (dorothy's seat)
nainital,5. eco cave gardens
nainital,6. high altitude zoo
nainital,7. naina devi temple
nainital,8. nainital ropeway
nainital,9. naina peak
nainital,10. neem karoli baba ashram
nainital,11. land's end
nainital,12. bhimtal
nainital,13. sattal
nainital,14. governor's house
nainital,15. pangot
nainital,16. himalayan view point
nainital,17. tibetan market
nainital,18. gurney house
nainital,19. st john wilderness church
nainital,20. jeolikot
nainital,21. hanuman garhi
nainital,22. mukteshwar temple
nainital,23. khurpa taal
nainital,24. ranikhet
nainital,25. astronomical observatory
nainital,26. naukuchiatal
nainital,27. sariya tal
nainital,28. peora
nainital,29. himalayan centre of sri aurobindo ashram
nainital,30. jim corbett national park
nainital,31. sitabani
nainital,32. bhowali
nainital,33. kainchi dham
shimla,1. ridge
shimla,2. mall road
shimla,3. jakhoo temple
shimla,4. kufri
shimla,5. toy train to kalka
shimla,6. green valley
shimla,7. chail
shimla,8. visceral lodge
shimla,9. institute of advanced studies
shimla,10. christ church
shimla,11. kalibari temple
shimla,12. narkanda
shimla,13. naldehra
shimla,14. himalayan bird park
shimla,15. cafe simla times
shimla,16. annadale
shimla,17. himachal state museum
shimla,18. tara devi temple
shimla,19. scandal point
shimla,20. rothney castle
shimla,21. theog
shimla,22. shimla reserve forest sanctuary
shimla,23. tattapani
shimla,24. skiing in kufri
shimla,25. chadwick falls
shimla,26. lakkar bazar
shimla,27. jakhoo ropeway
shimla,28. gaiety heritage cultural complex
shimla,29. gorton castle
shimla,30. bantony castle
shimla,31. gurudwara sahib
shimla,32. pabbar valley
shimla,33. horse riding
shimla,34. kasauli
shimla,35. naggar castle
shimla,36. solan
shimla,37. mashobra
shimla,38. fagu
shimla,39. shoghi
shimla,40. ice skating
shimla,41. wake & bake
shimla,42. cafe hide out
shimla,43. wild flower hall hotel
shimla,44. retreat building
shimla,45. heritage walk
shimla,46. bharara fair
shimla,47. bhoj fair
shimla,48. chanshal pass
shimla,49. lavi fair
shimla,50. kharapathar
shimla,51. shimla summer festival
shimla,52. hatkoti
ooty,1. nilgiri mountain railway
ooty,2. ooty lake
ooty,3. emerald lake
ooty,4. ooty botanical gardens
ooty,5. dolphin's nose
ooty,6. ooty rose garden
ooty,7. avalanche lake
ooty,8. doddabetta peak
ooty,9. st stephen's church
ooty,10. thread garden
ooty,11. trekking
ooty," 12. kalhatti falls, bellikkal "
ooty,13. tiger hill
ooty," 14. kotagiri, coonoor "
ooty,15. kamraj sagar lake
ooty,16. annamalai temple
ooty," 17. droog fort, coonoor "
ooty," 18. lamb's rock, coonoor "
ooty," 19. simi's park, coonoor "
ooty," 20. catherine falls, coonoor "
ooty,21. upper bhavani lake
ooty," 22. bison valley, bellikkal "
ooty,23. pykara lake
ooty,24. wenlock downs
ooty,25. thunder world
ooty,26. ketti valley view
ooty,27. cairn hill
ooty,28. adamês fountain
ooty,29. elk hill murugan temple
ooty,30. wax museum
ooty,31. kandal cross shrine
ooty,32. stone house
ooty,33. government museum
ooty,34. pykara falls
ooty,35. children's park
ooty,36. lake park ooty
ooty,37. katari falls
ooty,38. halashana falls
ooty,39. tea factory
ooty,40. shopping in ooty
ooty,41. honey & bee museum
ooty,42. ooty flower show
ooty,43. mukurthi national park
jaipur," 1. amber fort, jaipur "
jaipur,2. experience the village of chokhi dhani
jaipur,3. city palace
jaipur,4. hawa mahal
jaipur,5. witness the magic of jantar mantar
jaipur,6. nahargarh fort
jaipur,7. explore collections at albert hall museum
jaipur,8. birla temple
jaipur,9. masala chowk
jaipur,10. take a tour of jaigarh fort
jaipur,11. pink pearl resort and fun city
jaipur,12. galtaji temple
jaipur,13. click pictures near the peaceful jal mahal
jaipur,14. gatore ki chhatriyan
jaipur,15. amrapali museum
jaipur,16. pink city
jaipur,17. patrika gate
jaipur,18. angel resort and amusement park
jaipur,19. amar jawan jyoti
jaipur,20. jaipur zoo
jaipur,21. evening walk in central park
jaipur,22. sisodia rani garden
jaipur,23. rambagh palace
jaipur,24. govind ji temple
